STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,age,Age class,isco08,International Standard Classification of Occupations 2008 (ISCO-08),worktime,Working time,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,BE,Belgium,2014,,27.7,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,BE,Belgium,2015,,25.6,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,BE,Belgium,2016,,28.0,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,BE,Belgium,2017,,21.3,,b,break in time series,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,BE,Belgium,2018,,22.3,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,BE,Belgium,2019,,19.9,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,BE,Belgium,2020,,20.9,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,BE,Belgium,2021,,19.5,,b,break in time series,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,BE,Belgium,2022,,21.1,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,BE,Belgium,2023,,22.0,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,BE,Belgium,2024,,18.8,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,BG,Bulgaria,2010,,28.6,,b,break in time series,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,BG,Bulgaria,2011,,26.8,,b,break in time series,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,BG,Bulgaria,2012,,24.9,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,BG,Bulgaria,2013,,23.6,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,BG,Bulgaria,2014,,24.2,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,BG,Bulgaria,2015,,24.3,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,BG,Bulgaria,2016,,25.2,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,BG,Bulgaria,2017,,24.4,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,BG,Bulgaria,2018,,23.1,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,BG,Bulgaria,2019,,23.1,,b,break in time series,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,BG,Bulgaria,2020,,21.4,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,BG,Bulgaria,2021,,23.1,,b,break in time series,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,BG,Bulgaria,2022,,21.4,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,BG,Bulgaria,2023,,22.1,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,BG,Bulgaria,2024,,21.7,,b,break in time series,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CH,Switzerland,2010,,1.8,,bu,"break in time series, low reliability",,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CH,Switzerland,2021,,2.6,,bu,"break in time series, low reliability",,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CH,Switzerland,2022,,2.4,,u,low reliability,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CH,Switzerland,2023,,3.8,,u,low reliability,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CH,Switzerland,2024,,4.8,,u,low reliability,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CY,Cyprus,2010,,3.4,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CY,Cyprus,2011,,3.8,,b,break in time series,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CY,Cyprus,2012,,3.7,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CY,Cyprus,2013,,4.4,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CY,Cyprus,2014,,4.4,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CY,Cyprus,2015,,4.1,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CY,Cyprus,2016,,4.2,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CY,Cyprus,2017,,6.9,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CY,Cyprus,2018,,8.9,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CY,Cyprus,2019,,8.0,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CY,Cyprus,2020,,7.3,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CY,Cyprus,2021,,9.0,,b,break in time series,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CY,Cyprus,2022,,9.0,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CY,Cyprus,2023,,7.7,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CY,Cyprus,2024,,6.8,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CZ,Czechia,2010,,14.8,,b,break in time series,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CZ,Czechia,2011,,15.5,,b,break in time series,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CZ,Czechia,2012,,18.3,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CZ,Czechia,2013,,16.6,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CZ,Czechia,2014,,17.7,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CZ,Czechia,2015,,14.4,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CZ,Czechia,2016,,14.3,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CZ,Czechia,2017,,16.5,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CZ,Czechia,2018,,15.2,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CZ,Czechia,2019,,16.7,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CZ,Czechia,2020,,25.2,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CZ,Czechia,2021,,16.1,,b,break in time series,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CZ,Czechia,2022,,16.1,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CZ,Czechia,2023,,17.2,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,CZ,Czechia,2024,,20.5,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,DE,Germany,2010,,180.1,,b,break in time series,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,DE,Germany,2011,,173.2,,b,break in time series,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,DE,Germany,2012,,198.7,,b,break in time series,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,DE,Germany,2013,,191.7,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,DE,Germany,2014,,190.0,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,DE,Germany,2015,,179.0,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,DE,Germany,2016,,185.8,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,DE,Germany,2017,,182.7,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,DE,Germany,2018,,184.5,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,DE,Germany,2019,,181.8,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,DE,Germany,2020,,155.0,,b,break in time series,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,DE,Germany,2021,,165.7,,b,break in time series,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,DE,Germany,2022,,169.0,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,DE,Germany,2023,,164.5,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,DE,Germany,2024,,162.2,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,DK,Denmark,2010,,12.0,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,DK,Denmark,2011,,9.2,,b,break in time series,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,DK,Denmark,2012,,10.3,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,DK,Denmark,2013,,9.8,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,DK,Denmark,2014,,9.9,,,,,
dataflow,ESTAT:LFSA_EPGAIS(1.0),Persons in full-time/part-time employment by occupation,A,Annual,THS_PER,Thousand persons,T,Total,Y15-64,From 15 to 64 years,OC0,Armed forces occupations,FT,Full-time,DK,Denmark,2015,,9.9,,,,,
