STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,sex,Sex,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),isco08,International Standard Classification of Occupations 2008 (ISCO-08),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,AT,Austria,2022,,12.0,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,AT,Austria,2023,,10.0,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,AT,Austria,2024,,11.5,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BA,Bosnia and Herzegovina,2021,,10.4,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BA,Bosnia and Herzegovina,2022,,10.0,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BA,Bosnia and Herzegovina,2023,,8.5,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BA,Bosnia and Herzegovina,2024,,8.2,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BE,Belgium,2008,,33.5,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BE,Belgium,2009,,32.3,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BE,Belgium,2010,,28.7,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BE,Belgium,2011,,29.1,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BE,Belgium,2012,,29.6,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BE,Belgium,2013,,25.3,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BE,Belgium,2014,,29.0,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BE,Belgium,2015,,26.8,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BE,Belgium,2016,,29.0,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BE,Belgium,2017,,22.7,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BE,Belgium,2018,,24.5,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BE,Belgium,2019,,21.7,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BE,Belgium,2020,,21.9,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BE,Belgium,2021,,20.2,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BE,Belgium,2022,,21.5,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BE,Belgium,2023,,22.4,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BE,Belgium,2024,,19.3,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BG,Bulgaria,2008,,29.9,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BG,Bulgaria,2009,,28.7,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BG,Bulgaria,2010,,28.6,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BG,Bulgaria,2011,,26.8,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BG,Bulgaria,2012,,25.0,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BG,Bulgaria,2013,,23.7,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BG,Bulgaria,2014,,24.2,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BG,Bulgaria,2015,,24.3,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BG,Bulgaria,2016,,25.2,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BG,Bulgaria,2017,,24.4,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BG,Bulgaria,2018,,23.1,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BG,Bulgaria,2019,,23.1,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BG,Bulgaria,2020,,21.4,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BG,Bulgaria,2021,,23.1,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BG,Bulgaria,2022,,21.4,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BG,Bulgaria,2023,,22.3,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,BG,Bulgaria,2024,,21.9,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CH,Switzerland,2008,,2.7,,u,low reliability,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CH,Switzerland,2009,,2.3,,u,low reliability,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CH,Switzerland,2010,,2.1,,bu,"break in time series, low reliability",,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CH,Switzerland,2021,,2.7,,bu,"break in time series, low reliability",,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CH,Switzerland,2022,,2.4,,u,low reliability,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CH,Switzerland,2023,,4.0,,u,low reliability,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CH,Switzerland,2024,,4.9,,u,low reliability,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CY,Cyprus,2008,,5.0,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CY,Cyprus,2009,,4.3,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CY,Cyprus,2010,,3.4,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CY,Cyprus,2011,,3.8,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CY,Cyprus,2012,,3.7,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CY,Cyprus,2013,,4.4,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CY,Cyprus,2014,,4.4,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CY,Cyprus,2015,,4.1,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CY,Cyprus,2016,,4.2,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CY,Cyprus,2017,,6.9,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CY,Cyprus,2018,,8.9,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CY,Cyprus,2019,,8.0,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CY,Cyprus,2020,,7.3,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CY,Cyprus,2021,,9.0,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CY,Cyprus,2022,,9.0,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CY,Cyprus,2023,,7.7,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CY,Cyprus,2024,,6.8,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CZ,Czechia,2008,,16.1,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CZ,Czechia,2009,,14.5,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CZ,Czechia,2010,,14.8,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CZ,Czechia,2011,,15.5,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CZ,Czechia,2012,,18.3,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CZ,Czechia,2013,,16.7,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CZ,Czechia,2014,,17.7,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CZ,Czechia,2015,,14.4,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CZ,Czechia,2016,,14.4,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CZ,Czechia,2017,,16.6,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CZ,Czechia,2018,,15.2,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CZ,Czechia,2019,,16.8,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,CZ,Czechia,2020,,25.3,,,,,
